Rank,Last Year's Rank,"Team, League",Average Annual pay per player,% change from last year's survey,Total Payroll,Rank of Total Payroll,Average player 5 year earnings,% change over last 5 years
1,1,"Manchester City, EPL",8.109.912,"0,6",202.747.812,3,31.660.772,265
2,5,"New York Yankees, MLB",8.031.948,"12,3",208.830.659,2,35.789.052,5
3,2,"Los Angeles Dodgers, MLB",7.778.336,"4,1",241.128.402,1,26.226.200,79
4,3,"Real Madrid, La Liga",7.586.438,"3,7",189.660.944,5,36.995.660,9
5,4,"Barcelona, La Liga",7.446.562,"2,4",193.610.600,4,37.975.600,12
6,16,"Brooklyn Nets, NBA",6.814.067,"23,6",102.211.009,51,24.108.812,65
7,9,"Bayern Munich, Bundesliga",6.689.311,"8,7",173.922.091,7,29.919.552,36
8,12,"Manchester United, EPL",6.566.775,"8,9",164.169.367,8,27.985.256,38
9,19,"Chicago Bulls, NBA",6.055.463,"14,5",78.721.016,76,24.709.880,51
10,8,"Chelsea, EPL",6.053.686,-3,151.342.140,12,30.990.544,3
11,15,"Arsenal, EPL",5.928.172,"5,1",148.204.312,15,25.892.620,38
12,20,"NY Knicks, NBA",5.867.808,"13,5",88.017.120,67,24.425.648,10
13,14,"Detroit Tigers, MLB",5.824.233,2,163.078.526,9,24.444.264,31
14,11,"Philadelphia Phillies, MLB",5.791.002,"-5,5",179.521.056,6,27.555.684,43
15,22,"Boston Red Sox, MLB",5.717.792,"13,9",154.380.395,11,26.406.068,25
16,17,"Miami Heat, NBA",5.568.543,"1,3",83.528.143,72,23.380.396,54
17,23,"San Francisco Giants, MLB",5.490.339,"9,6",148.239.158,14,21.697.572,89
18,35,"Juventus, Serie A",5.336.821,"16,2",149.431.000,13,20.990.372,139
19,7,"LA Lakers, NBA",5.182.926,"-17,6",77.743.891,78,29.883.100,-7
20,21,"Liverpool, EPL",5.171.351,"0,2",129.283.779,20,24.648.884,25
21,18,"Boston Celtics, NBA",5.087.128,"-6,2",71.219.789,86,26.422.812,-5
22,26,"Oklahoma City Thunder, NBA",5.024.550,"2,3",70.343.704,87,20.886.632,47
23,38,"Indiana Pacers, NBA",4.994.377,"13,1",69.921.277,88,21.167.692,15
24,33,"Mumbai Indians, IPL",4.964.375,"6,5",12.220.000,218,21.698.248,26
25,58,"Roma, Serie A",4.937.720,"35,3",123.443.000,22,17.336.800,236
26,24,"LA Clippers, NBA",4.929.758,"-0,3",73.946.375,84,21.818.264,43
27,6,"Milan, Serie A",4.872.750,-26,155.928.000,10,26.529.984,47
28,30,"Golden State Warriors, NBA",4.803.879,"1,3",67.254.306,98,21.512.296,37
29,41,"Washington Nationals, MLB",4.798.812,"9,4",134.366.735,16,15.697.292,185
30,55,"Toronto Blue Jays, MLB",4.793.619,"26,4",129.427.700,19,15.125.188,163
31,10,"Internazionale, Serie A",4.640.714,"-25,1",129.940.000,18,25.662.988,49
32,66,"New Orleans Pelicans, NBA",4.605.265,"39,4",64.473.705,106,20.708.116,3
33,13,"Memphis Grizzlies, NBA",4.581.088,"-19,9",68.716.326,90,22.709.544,57
34,54,"Minnesota Timberwolves, NBA",4.512.792,"18,1",67.691.881,94,18.810.272,12
35,42,"Denver Nuggets, NBA",4.488.293,"5,2",67.324.401,96,23.446.072,-3
36,43,"Dallas Mavericks, NBA",4.485.331,7,67.279.965,97,24.320.660,-23
37,45,"Sacramento Kings, NBA",4.437.526,"7,3",62.125.365,120,18.964.192,12
38,31,"LA Angels, MLB",4.415.397,"-6,8",128.046.500,21,23.172.448,5
39,32,"Kolkata Knight Riders, IPL",4.390.750,"-7,1",10.808.000,222,22.543.976,-9
40,28,"Royal Challengers Bangalore, IPL",4.387.500,"-9,4",11.475.000,221,22.398.168,-11
41,29,"Delhi Daredevils, IPL",4.296.094,"-11,2",10.575.000,225,20.270.952,4
42,25,"San Antonio Spurs, NBA",4.291.217,"-13,1",64.368.261,107,21.936.512,32
43,50,"Washington Wizards, NBA",4.267.204,"5,1",64.008.065,110,20.217.132,-3
44,48,"Chennai Super Kings, IPL",4.217.772,"2,5",11.680.000,220,20.206.524,-11
45,40,"Toronto Raptors, NBA",4.179.418,-5,62.691.270,115,20.714.200,-8
46,60,"Portland Trail Blazers, NBA",4.173.291,"17,1",62.599.372,116,21.026.460,-10
47,56,"Borussia Dortmund, Bundesliga",4.158.080,"14,2",103.952.000,45,n/a,n/a
48,49,"Texas Rangers, MLB",4.140.362,"1,6",132.491.596,17,18.435.248,72
49,36,"Detroit Pistons, NBA",4.126.684,"-8,3",61.900.253,122,22.668.620,-25
50,81,"Houston Rockets, NBA",4.125.552,"50,8",61.883.276,123,19.751.680,0
51,61,"Schalke, Bundesliga",4.074.918,15,101.872.960,52,n/a,n/a
52,65,"Cleveland Cavaliers, NBA",4.072.630,"22,1",61.089.456,124,19.654.596,-25
53,47,"Charlotte Bobcats, NBA",4.054.756,"-1,9",60.821.336,126,19.799.676,21
54,51,"Tottenham, EPL",4.037.692,"-0,1",100.942.292,53,16.327.740,95
55,57,"Pune Warriors, IPL",3.877.656,"6,6",9.545.000,229,n/a,n/a
56,53,"St Louis Cardinals, MLB",3.857.870,"-2,9",108.020.360,40,20.092.228,-13
57,34,"Atlanta Hawks, NBA",3.807.731,"-17,5",57.115.966,139,22.474.920,-16
58,79,"Milwaukee Brewers, MLB",3.804.605,"37,6",102.724.338,48,16.113.760,30
59,44,"Milwaukee Bucks, NBA",3.788.245,"-9,2",56.823.668,140,20.483.424,-3
60,37,"Utah Jazz, NBA",3.772.348,"-15,3",56.585.215,141,22.630.712,-15
61,71,"Arizona Diamondbacks, MLB",3.726.628,"25,5",111.798.833,33,13.505.232,72
62,78,"Colorado Rockies, MLB",3.688.114,"33,3",99.579.071,54,15.463.448,26
63,52,"Orlando Magic, NBA",3.525.842,"-11,6",52.887.627,149,23.079.108,-24
64,62,"Phoenix Suns, NBA",3.435.551,"1,5",48.097.710,157,20.251.556,-32
65,46,"Cincinnati Reds, MLB",3.405.417,"-17,6",112.378.771,32,15.160.184,58
66,82,"Minnesota Twins, MLB",3.396.500,"25,5",84.912.500,69,16.762.720,27
67,67,"Baltimore Orioles, MLB",3.389.810,8,105.084.121,44,14.300.520,101
68,69,"Kansas City Royals, MLB",3.351.167,11,90.481.500,62,12.359.256,28
69,39,"Chicago White Sox, MLB",3.316.740,"-24,8",89.551.982,65,19.794.944,-4
70,91,"Queens Park Rangers, EPL",3.255.259,25,81.381.487,75,n/a,n/a
